x,y_obs_C1_MAPbBr50_Xraydeg_20s_01230117_0001.tif_Azm=_240.00
18.841,29.17
18.868,29.171
18.894,28.931
18.921,28.743
18.948,28.821
18.974,28.854
19.001,28.625
19.028,28.622
19.055,28.578
19.081,28.683
19.108,28.702
19.135,28.519
19.162,28.6
19.188,28.664
19.215,28.515
19.242,28.672
19.268,28.496
19.295,28.565
19.322,28.355
19.349,28.434
19.375,28.432
19.402,28.272
19.429,28.424
19.456,28.268
19.482,28.342
19.509,28.269
19.536,28.333
19.563,28.299
19.589,28.354
19.616,28.167
19.643,28.36
19.67,28.163
19.696,28.055
19.723,28.192
19.75,28.117
19.777,28.186
19.803,28.221
19.83,28.407
19.857,28.721
19.884,28.549
19.91,28.244
19.937,28.122
19.964,28.146
19.991,28.089
20.017,27.982
20.044,27.948
20.071,28.056
20.098,27.776
20.124,27.863
20.151,27.616
20.178,27.797
20.205,27.875
20.231,27.903
20.258,27.941
20.285,27.931
20.312,27.642
20.339,27.684
20.365,27.778
20.392,27.867
20.419,27.478
20.446,27.668
20.472,27.559
20.499,27.707
20.526,27.607
20.553,27.64
20.58,27.702
20.606,27.852
20.633,27.928
20.66,27.913
20.687,28.238
20.714,28.474
20.74,29.546
20.767,33.131
20.794,41.038
20.821,51.832
20.848,55.167
20.874,47.095
20.901,37.139
20.928,31.464
20.955,29.136
20.982,28.181
21.008,27.924
21.035,28.088
21.062,29.543
21.089,27.09
21.116,27.049
21.142,27.218
21.169,27.06
21.196,27.071
21.223,26.811
21.25,26.964
21.276,26.925
21.303,27.019
21.33,26.976
21.357,26.866
21.384,26.649
21.411,26.884
21.437,26.722
21.464,26.767
21.491,26.637
21.518,26.709
21.545,26.673
21.571,26.372
21.598,26.667
21.625,26.706
21.652,26.643
21.679,26.594
21.706,26.51
21.732,26.382
21.759,26.368
21.786,26.441
21.813,26.392
21.84,34.609
21.867,26.543
21.894,26.373
21.92,26.373
21.947,26.187
21.974,26.177
22.001,26.287
22.028,26.284
22.055,26.214
22.081,26.182
22.108,26.03
22.135,26.177
22.162,25.94
22.189,26.007
22.216,26.033
22.243,26.256
22.269,26.173
22.296,26.151
22.323,25.981
22.35,25.888
22.377,25.723
22.404,25.844
22.431,26.118
22.458,25.875
22.484,25.871
22.511,25.769
22.538,25.611
22.565,25.83
22.592,25.727
22.619,25.589
22.646,25.476
22.672,25.692
22.699,25.716
22.726,25.666
22.753,25.846
22.78,26.227
22.807,27.335
22.834,28.484
22.861,28.837
22.888,28.091
22.914,26.937
22.941,26.218
22.968,25.831
22.995,25.687
23.022,25.798
23.049,25.61
23.076,25.331
23.103,25.392
23.13,25.5
23.157,25.721
23.183,25.421
23.21,26.393
23.237,25.855
23.264,25.513
23.291,25.419
23.318,25.286
23.345,25.174
23.372,25.291
23.399,25.236
23.426,25.309
23.453,25.349
23.479,25.147
23.506,25.232
23.533,25.242
23.56,25.15
23.587,25.173
23.614,25.139
23.641,25.03
23.668,24.984
23.695,25.101
23.722,25.121
23.749,25.006
23.776,25.222
23.803,25.106
23.83,25.129
23.856,25.22
23.883,25.118
23.91,25.074
23.937,25.177
23.964,25.22
23.991,25.132
24.018,25.11
24.045,25.271
24.072,25.279
24.099,25.043
24.126,25.274
24.153,25.188
24.18,25.126
24.207,25.176
24.234,25.051
24.261,25.21
24.288,25.122
24.315,24.918
24.342,25.164
24.368,25.134
24.395,25.318
24.422,25.197
24.449,25.19
24.476,25.319
24.503,25.326
24.53,25.194
24.557,25.179
24.584,25.276
24.611,25.137
24.638,25.194
24.665,25.099
24.692,25.314
24.719,25.071
24.746,25.152
24.773,25.332
24.8,25.189
24.827,25.184
24.854,25.375
24.881,25.267
24.908,25.219
24.935,25.325
24.962,25.428
24.989,25.558
25.016,25.534
25.043,25.435
25.07,25.461
25.097,25.454
25.124,25.384
25.151,25.486
25.178,25.571
25.205,25.317
25.232,25.457
25.259,25.508
25.286,25.237
25.313,25.448
25.34,25.453
25.367,25.576
25.394,25.553
25.421,25.348
25.448,25.632
25.475,25.641
25.502,25.426
25.529,25.496
25.556,25.625
25.583,25.845
25.61,25.7
25.637,25.921
25.664,25.723
25.691,25.936
25.718,25.867
25.745,25.698
25.772,25.707
25.799,25.714
25.827,25.697
25.854,25.856
25.881,25.96
25.908,26.026
25.935,25.762
25.962,25.925
25.989,26.196
26.016,26.184
26.043,26.152
26.07,26.056
26.097,26.222
26.124,26.198
26.151,26.238
26.178,26.279
26.205,26.411
26.232,26.216
26.259,26.349
26.286,26.501
26.313,26.717
26.341,27.17
26.368,28.167
26.395,30.209
26.422,32.563
26.449,33.772
26.476,32.525
26.503,30.02
26.53,28.446
26.557,27.577
26.584,26.972
