x,y_obs_C1_MAPbBr50_Xraydeg_20s_01230117_0030.tif_Azm=_240.00
22.135,25.569
22.162,25.589
22.189,25.402
22.216,25.699
22.243,25.506
22.269,25.426
22.296,25.372
22.323,25.345
22.35,25.36
22.377,25.314
22.404,25.183
22.431,25.28
22.458,25.345
22.484,25.437
22.511,25.311
22.538,25.079
22.565,25.181
22.592,25.184
22.619,25.178
22.646,25.101
22.672,25.207
22.699,25.124
22.726,25.14
22.753,25.338
22.78,25.874
22.807,26.852
22.834,27.922
22.861,28.287
22.888,27.462
22.914,26.42
22.941,25.476
22.968,25.103
22.995,25.16
23.022,24.971
23.049,25.025
23.076,24.959
23.103,24.963
23.13,24.746
23.157,24.797
23.183,24.728
23.21,24.685
23.237,24.807
23.264,24.966
23.291,24.749
23.318,24.639
23.345,24.586
23.372,24.674
23.399,24.399
23.426,24.585
23.453,24.767
23.479,24.6
23.506,24.574
23.533,24.621
23.56,24.638
23.587,24.663
23.614,24.636
23.641,24.469
23.668,24.465
23.695,24.636
23.722,24.652
23.749,24.403
23.776,24.6
23.803,24.443
23.83,24.349
23.856,24.581
23.883,24.7
23.91,24.559
23.937,24.51
23.964,24.594
23.991,24.487
24.018,24.475
24.045,24.501
24.072,24.695
24.099,24.523
24.126,24.567
24.153,24.563
24.18,24.545
24.207,24.512
24.234,24.437
24.261,24.539
24.288,24.622
24.315,24.59
24.342,24.589
24.368,24.481
24.395,24.585
24.422,24.636
24.449,24.772
24.476,24.728
24.503,24.722
24.53,24.777
24.557,24.505
24.584,24.829
24.611,24.64
24.638,24.668
24.665,24.611
24.692,24.482
24.719,24.503
24.746,24.604
24.773,24.663
24.8,24.538
24.827,24.684
24.854,24.8
24.881,24.804
24.908,24.707
24.935,24.743
24.962,24.727
24.989,24.986
25.016,24.913
25.043,24.77
25.07,24.811
25.097,24.907
25.124,24.827
25.151,24.897
25.178,24.914
25.205,24.883
25.232,24.735
25.259,24.879
25.286,24.831
25.313,24.851
25.34,24.776
25.367,24.933
25.394,24.88
25.421,25.005
