x,y_obs_B1_MAPbI2Br_xraydeg_20s_01230708_0030.tif_Azm=_240.00
20.982,26.742
21.008,26.724
21.035,26.621
21.062,26.767
21.089,26.526
21.116,26.372
21.142,26.709
21.169,26.545
21.196,26.343
21.223,26.293
21.25,26.331
21.276,26.415
21.303,26.208
21.33,26.239
21.357,26.189
21.384,26.171
21.411,25.98
21.437,26.088
21.464,26.042
21.491,26.098
21.518,25.981
21.545,26.115
21.571,25.898
21.598,25.927
21.625,25.84
21.652,25.791
21.679,25.906
21.706,25.976
21.732,25.7
21.759,25.898
21.786,26.071
21.813,25.908
21.84,33.922
21.867,25.875
21.894,25.703
21.92,25.823
21.947,25.83
21.974,25.741
22.001,25.624
22.028,25.567
22.055,25.586
22.081,25.556
22.108,25.37
22.135,25.685
22.162,25.402
22.189,25.501
22.216,25.318
22.243,25.634
22.269,25.419
22.296,25.274
22.323,25.335
22.35,25.342
22.377,25.24
22.404,25.573
22.431,25.518
22.458,25.586
22.484,25.575
22.511,25.913
22.538,26.755
22.565,28.37
22.592,29.586
22.619,29.205
22.646,27.623
22.672,26.49
22.699,25.734
22.726,25.343
22.753,25.231
22.78,25.123
22.807,25.03
22.834,24.984
22.861,24.961
22.888,25.033
22.914,24.979
22.941,24.906
22.968,24.973
22.995,24.88
23.022,24.84
23.049,24.784
23.076,24.591
23.103,24.761
23.13,24.76
23.157,24.83
23.183,24.654
23.21,24.816
23.237,24.805
23.264,24.752
23.291,24.77
23.318,24.626
23.345,24.471
23.372,24.527
23.399,24.732
23.426,24.605
23.453,24.748
23.479,24.611
23.506,24.621
23.533,24.648
23.56,24.321
23.587,24.496
23.614,24.542
23.641,24.657
23.668,24.517
23.695,24.45
23.722,24.464
23.749,24.246
23.776,24.513
23.803,24.48
23.83,24.462
23.856,24.549
23.883,24.671
23.91,24.525
23.937,24.421
23.964,24.468
23.991,24.376
24.018,24.323
24.045,24.574
24.072,24.523
24.099,24.499
24.126,24.668
24.153,24.503
24.18,24.648
24.207,24.518
24.234,24.395
24.261,24.378
24.288,24.695
24.315,24.54
24.342,24.598
24.368,24.664
24.395,24.809
24.422,24.846
24.449,24.734
24.476,24.945
24.503,24.846
24.53,24.825
24.557,24.855
24.584,24.567
24.611,24.73
24.638,24.611
24.665,24.749
24.692,24.785
24.719,24.666
24.746,24.65
24.773,24.762
24.8,24.603
24.827,24.676
24.854,24.736
24.881,24.588
24.908,24.771
24.935,24.982
24.962,25.391
24.989,26.219
25.016,26.562
25.043,26.033
25.07,25.402
25.097,24.993
25.124,24.943
25.151,24.709
25.178,24.906
25.205,24.884
25.232,24.783
25.259,25.034
25.286,24.792
25.313,24.855
25.34,24.994
25.367,24.981
25.394,24.915
25.421,24.935
25.448,25.122
25.475,25.112
25.502,25.136
25.529,25.171
25.556,25.24
25.583,25.422
25.61,25.412
25.637,25.315
25.664,25.178
25.691,25.241
25.718,25.421
25.745,25.366
25.772,25.345
25.799,25.452
25.827,25.475
25.854,25.645
25.881,25.698
25.908,25.749
25.935,25.761
25.962,26.034
25.989,26.236
26.016,26.268
26.043,27.084
26.07,28.574
26.097,31.399
26.124,35.111
26.151,36.502
26.178,35.15
26.205,31.791
26.232,28.908
26.259,27.22
26.286,26.62
26.313,26.455
26.341,26.491
26.368,26.283
26.395,26.18
26.422,25.899
26.449,25.977
26.476,26.056
26.503,25.728
26.53,25.95
26.557,25.905
26.584,25.959
26.611,26.08
26.638,26.008
26.665,25.934
26.693,26.066
26.72,25.903
26.747,26.092
26.774,26.024
26.801,26.035
26.828,26.284
26.855,26.086
26.882,26.159
26.909,26.322
26.936,26.323
26.963,26.31
26.991,26.189
27.018,26.182
27.045,26.247
27.072,26.056
27.099,26.281
27.126,26.139
27.153,26.265
27.18,26.329
27.207,26.203
27.235,26.333
27.262,26.296
27.289,26.44
27.316,26.395
27.343,26.403
27.37,26.473
27.397,26.526
27.424,26.56
27.452,26.51
27.479,26.477
27.506,26.597
27.533,26.625
27.56,26.771
27.587,26.704
27.614,26.868
27.641,27.383
27.669,28.115
27.696,29.425
27.723,32.095
27.75,34.136
27.777,34.397
27.804,32.655
27.832,30.166
27.859,28.582
27.886,27.616
27.913,27.162
27.94,27.079
27.967,26.977
27.994,26.795
28.022,26.817
28.049,26.751
28.076,26.733
28.103,26.74
28.13,26.771
28.157,26.692
28.185,26.701
28.212,26.747
28.239,26.657
28.266,26.817
28.293,26.93
28.321,26.732
28.348,26.581
28.375,26.704
28.402,26.989
28.429,26.77
28.456,26.808
28.484,26.985
28.511,26.914
28.538,26.826
28.565,26.913
28.592,26.868
28.62,26.919
28.647,26.873
28.674,26.79
28.701,26.86
28.728,27.022
28.756,26.835
28.783,26.91
28.81,26.925
28.837,26.896
28.864,26.92
28.892,27.039
28.919,27.135
28.946,27.061
28.973,26.906
29.001,26.908
29.028,27.088
29.055,27.036
29.082,26.956
29.109,26.964
29.137,27.18
29.164,26.928
29.191,27.215
29.218,27.39
29.246,27.504
29.273,27.744
29.3,27.898
29.327,27.75
29.355,27.661
29.382,27.403
29.409,27.298
29.436,27.174
29.464,27.159
29.491,27.085
29.518,27.085
29.545,27.144
29.573,27.138
29.6,27.154
29.627,27.281
29.654,27.19
29.682,27.367
29.709,27.407
29.736,27.222
29.763,27.069
29.791,27.412
29.818,27.283
29.845,27.344
29.873,27.201
29.9,27.427
29.927,27.413
29.954,27.295
29.982,27.297
30.009,27.432
30.036,27.435
30.064,27.47
30.091,27.546
30.118,27.63
30.145,27.585
30.173,27.514
30.2,27.59
30.227,27.562
30.255,27.583
30.282,27.602
30.309,27.7
30.336,27.608
30.364,27.691
30.391,27.603
30.418,27.626
30.446,27.707
30.473,27.64
30.5,27.571
30.528,27.798
30.555,27.761
30.582,27.81
30.61,28.049
30.637,27.86
30.664,27.771
30.692,27.816
30.719,27.892
30.746,27.963
30.774,27.868
30.801,27.823
30.828,27.827
30.856,28.032
30.883,28.068
30.91,27.961
30.938,27.915
30.965,27.904
30.992,27.913
31.02,28.143
31.047,28.174
31.074,27.872
31.102,27.901
31.129,28.056
31.156,27.997
31.184,28.123
31.211,28.131
31.239,28.075
31.266,28.191
31.293,28.135
31.321,28.196
31.348,28.209
31.375,28.363
31.403,28.339
31.43,28.319
31.458,28.313
31.485,28.278
31.512,28.354
31.54,28.401
31.567,28.479
31.594,28.445
31.622,28.389
31.649,28.461
31.677,28.485
31.704,28.473
31.731,28.541
